Name,Gender,Age,Div,Ctry,Time
Rubacha Gabriel,M,46,741,CHI,230.02
Dufour Jason,M,38,2963,USA,249.83
Reynolds Geoff,M,49,1710,AUS,270.32
Johnson Mark A,M,45,34,USA,185.55
Detemple Derek,M,41,859,USA,227.55
Sanchez Galan Francisco,M,42,163,FRA,193.78
Kang Yong Chun,M,49,2164,KOR,346.73
Hackel Jeff,M,45,54,USA,190.82
Frisneda Pedro R.,M,41,307,USA,201.83
Ziettlow Todd E.,M,40,437,USA,207.72
Black Daniel,M,23,2813,USA,242.82
Vadron Andrew,M,31,3969,GBR,322.43
Tsuchida Yu,F,38,222,USA,206.80
Johnson Jim E.,M,31,958,CAN,197.75
Nelson Martha,F,30,154,USA,205.73
Cymanski John W,M,45,40,USA,186.80
Sumbs Michael,M,26,2233,USA,226.68
Borst Michael,M,18,2239,USA,226.10
Rishworth Mike,M,28,1321,NZL,205.78
Thomas Kurt,M,46,317,USA,211.93
McKellar Joseph T.,M,30,714,USA,191.05
Grieves Darren,M,28,2983,USA,250.65
Doepner Mark,M,29,3923,USA,316.12
Gray Anthony,M,39,1702,AUS,213.00
Saporta Christian,M,36,1003,USA,198.90
Betesh Sean M.,M,26,307,USA,178.40
Buckley Eric J.,M,48,142,USA,200.23
Ruser Chris,M,40,220,USA,197.70
Karn Benjamin,M,21,2364,USA,233.23
Cadieu Ian L.,M,28,1372,USA,206.88
Dobish Andrew,M,33,2886,USA,246.33
Zilles Earl,M,50,728,USA,242.10
Labriola Brian J,M,32,1793,USA,217.58
Gardener John,M,45,1263,CAN,255.20
Goldman David,M,38,2680,USA,238.08
Greene Chad,M,36,1707,USA,220.22
Wendel Nick,M,20,534,USA,186.12
Rowley Todd D,M,42,229,USA,197.65
Steinberg Greg,M,36,1163,CAN,202.40
Perezchica Giovani L.,M,28,655,USA,189.52
Joules Keith,M,49,807,GBR,231.83
Patronick Justin R.,M,32,412,USA,181.73
Tso Kenneth L,M,32,735,USA,191.95
Barkey Brandon L.,M,21,532,USA,186.13
Fan Alexander,M,26,1312,USA,205.08
Doubman Jay,M,40,580,USA,214.45
Colon Wilson,M,43,143,USA,191.72
Brischetto Matt,M,32,1991,USA,220.68
Dandley Michael S,M,21,277,USA,177.10
Landis Keith,M,35,3245,USA,263.82
Green Robert,M,34,1885,USA,217.67
Paz Nelson M,M,34,1710,USA,213.22
Whitehil William R.,M,21,1732,USA,214.02
Maley Scott D,M,28,1060,USA,200.15
Mann Brent,M,30,2924,USA,247.35
Chicoineau Paul V.,M,29,637,USA,189.45
Crispin Keith,M,45,197,USA,204.78
Hershey Steven R,M,54,165,USA,212.27
Taylor Dink A.,M,46,349,USA,213.87
Garey Rick B,M,39,728,USA,192.28
Zetterquist Victor,M,33,1828,SWE,216.53
Meijer John P,M,50,34,CAN,191.43
Foley Brian,M,45,373,USA,214.58
Clay Brad,M,40,1076,USA,234.90
Fernandes Herminio,M,40,617,CAN,216.35
Van Cleef Roy,M,32,2208,USA,225.38
McClure Jeff,M,27,2492,USA,232.93
Adams Matthew,M,37,1051,USA,200.62
Brunelle Jeffrey,M,30,1485,USA,208.90
Fehr Jake,M,51,52,CAN,197.45
Davis Daryl W,M,44,1169,USA,238.98
Beaulieu Patrice,M,40,936,CAN,229.27
Miller Brian K.,M,36,639,USA,189.08
Hammons James C.,M,29,406,USA,181.65
Scarrow Dan,M,28,2068,CAN,222.38
Studer Richard A. II,M,33,1254,USA,203.90
Whitecomb Shawn,M,40,488,USA,210.58
Sabio Hernan,M,38,804,USA,194.28
Bassett Aaron,M,32,787,CAN,193.62
Carroll Michael J.,M,46,21,USA,179.17
Schwartz Paul,M,45,106,USA,197.25
Kappel Joseph,M,39,583,USA,187.48
Bradbury Tyler,M,26,895,USA,196.30
Felsenfeld Sam E,M,37,1841,USA,216.83
Gamble John S. IV,M,29,1900,USA,218.43
Hoversten Knut E.,M,28,1044,USA,200.30
Forcese Craig S.,M,42,1159,CAN,238.23
Buckholz Preston O,M,37,3631,USA,290.08
Killeen Joseph,M,52,269,USA,220.25
Vovos Stelios,M,45,149,GRE,201.30
Calvert Dave,M,42,108,USA,188.63
Macbeath Gavin,M,42,273,USA,202.85
Mcgowan Ross,M,28,742,USA,192.77
Zbiegien Michael J,M,34,2122,USA,223.18
Fidler Nick,M,31,2175,CAN,224.23
Elliott Joe V.,M,25,254,GBR,176.20
Wells Jonathan D.,M,41,80,USA,185.12
Parks Jerry W.,M,43,760,USA,222.10
Suchman Eric,M,34,1259,USA,204.17
Malang Bryon,M,22,1327,USA,205.27
Leavitt Michael,M,26,395,USA,181.90
Morris Adam C.,M,24,3169,USA,259.25
Wood Doug,M,61,1,USA,191.73
Coburn Kate J.,F,34,201,AUS,206.45
Ganslandt Mattias,M,41,713,SWE,220.37
Nelson Buster A,M,34,1092,USA,201.57
Denton Christopher C,M,27,1033,USA,200.97
Yudelman Errol,M,52,153,USA,210.90
Wells Paul J.,M,47,921,GBR,236.08
Staples Mark A.,M,42,363,USA,204.72
Lafrance Sylvain,M,35,409,CAN,182.20
Moran Mike,M,36,3517,USA,282.97
Dougherty James,M,46,603,CAN,224.62
Taylor Scott W.,M,42,195,USA,195.75
Manewell Adam A.,M,37,1502,USA,208.65
Reilly Carl J,M,28,218,CAN,174.67
McDonnell Jerome,M,39,1151,USA,202.10
Ruel Conor,M,34,386,USA,181.20
Mallory John,M,30,863,USA,196.12
Hails Kate A.,F,24,30,USA,184.58
Randolph Paul R,M,45,146,USA,200.82
Slettehaugh Neil,M,39,588,ITA,187.83
Morin Mathieu,M,34,1274,CAN,204.30
Durant-Young Zaire,M,32,652,USA,190.00
Kilsdonk Samantha,F,24,1822,USA,243.90
Butler Tom,M,38,1096,USA,201.50
Maus Joseph A,M,28,1142,USA,201.67
Houdeshell David Jr.,M,41,852,USA,225.82
Higgins Connor,M,21,1083,USA,201.03
Park Tyler R.,M,26,785,USA,193.40
Rawson Geoff,M,40,99,CAN,188.42
Adlich Brandon L,M,32,2343,USA,229.68
Chapa Amado Sr.,M,30,2296,SWE,228.48
OBrienKevinJ,M,54,87,USA,203.28
Heil John Jr.,M,45,93,USA,194.82
Hardcastle Kath,F,30,43,USA,189.38
Sawyer Ryan,M,23,2629,USA,237.42
Resendez Gilbrando III,M,41,463,USA,208.80
Occhino Christopher M,M,41,1277,USA,244.53
Cochran Cory,M,39,975,USA,198.48
Fisher Zafar,M,32,3314,USA,268.53
Bruehlmann Bernhard,M,51,24,SUI,187.65
Hartley Bruce R.,M,47,67,USA,191.12
May Shane R,M,37,1528,USA,209.90
Murphy Michael J,M,38,3210,USA,261.82
Marek Michael,M,24,236,USA,177.77
Hanes Peter W,M,30,1125,USA,202.73
Korzenik Alfredo B.,M,47,99,USA,196.03
Aycinena Nicolas,M,33,1088,GUA,200.70
Dunfey Brian,M,53,431,USA,229.45
Bass Andrew P.,M,51,567,GBR,235.23
Okular Cory R,M,21,1287,USA,205.00
Dickey David,M,22,2316,USA,228.53
Bitter Edwin W III,M,29,695,USA,191.13
Tinger Mariah T.,F,34,175,USA,204.65
Leidlein Hugh,M,52,102,USA,205.82
Malone Matthew,M,25,881,USA,196.43
Pantaleon Pedro S,M,43,275,USA,200.73
Martin Austin,M,31,2084,USA,222.38
Seybold Martin,M,47,1658,USA,267.00
Adams Daniel C.,M,39,2033,USA,221.23
Starosciak Kaye A.,F,38,161,USA,203.08
Golden Rory M.,M,27,441,USA,183.18
Diani Ilyas,M,32,1845,USA,216.95
Yu Alan,M,32,1520,CAN,209.62
Quick David C,M,48,33,USA,184.82
Anders John,M,47,101,USA,196.82
Baker Christopher,M,34,1311,USA,205.37
Kaiser Jurgen,M,31,616,COL,188.82
Klein John,M,33,3647,USA,295.18
Solomon Thomas,M,27,2507,USA,234.15
Schiessler Jason,M,31,3589,USA,288.08
Harry Michael P.,M,37,2272,USA,227.67
Des Ligneris Benoit,M,39,721,CAN,191.87
Borris Robert,M,37,2799,CAN,247.20
Scholl Zack,M,24,2423,USA,231.58
Morin Tim,M,29,1453,USA,208.65
Sopko Christopher J.,M,33,548,USA,187.18
OBrienKevinD.,M,46,919,USA,235.68
Kadowaki Matthew S,M,34,2956,USA,252.42
Rigau Jose,M,30,2997,USA,251.68
Knauf David A,M,48,1112,USA,241.42
Donley Shawn,M,42,578,USA,214.47
Gaines Matthew A.,M,28,2749,USA,239.82
Matthews Brian,M,29,797,USA,194.00
Kessler Justin T.,M,28,1675,USA,212.35
Williams Jonathan,M,32,1022,USA,199.63
Cecchi Lisa M.,F,49,17,USA,210.00
Goetz Justin,M,30,2111,USA,222.67
Freeman Nathan J.,M,31,2031,CAN,221.42
North Keeler,M,32,1135,USA,202.42
Harrison-Church John N.,M,47,1005,GBR,237.87
Julian Edward,M,44,171,USA,193.90
Porcher Harold E,M,47,61,USA,189.93
Whitridge Tim,M,49,1353,USA,250.68
Painter Ted,M,40,1214,USA,240.88
Foley Paul S.,M,52,197,CAN,215.08
Godale Stephen,M,43,118,USA,189.55
Galli Joe,M,34,1692,USA,212.72
Mura David,M,30,1535,USA,210.32
Maki Eric J,M,50,12,USA,179.82
Bright Larry N.,M,48,1036,USA,239.68
Worth George,M,49,64,USA,190.13
Rychlik Garrett,M,44,422,USA,207.42
Wallman Barry D.,M,60,18,USA,219.90
Embler Marc,M,54,55,USA,197.98
Green Eric,M,36,670,USA,190.03
White Joey A.,M,32,3547,USA,285.27
Stroffolino Jamie,M,26,2313,USA,228.15
Sciardo Antonio,M,50,48,ITA,196.05
Wolbert Dave,M,52,47,USA,196.10
Weiss Christian,M,43,806,GER,223.48
Bommier Clement,M,22,1672,USA,212.47
Stewart David M,M,49,831,USA,232.40
Ferro Freddy J,M,40,1399,USA,253.23
Takenaka Kohta,M,41,426,JPN,207.52
Lavender Marcus W,M,40,831,USA,224.73
Hage Robijn,M,41,883,USA,226.92
Rieker Michael F.,M,36,2056,USA,221.83
Regenold Seth R,M,29,387,USA,182.37
Smith Cameron A.,M,29,664,USA,189.88
Lau Michael,M,50,70,CAN,200.23
Murphy Douglas,M,46,413,USA,216.77
Svensson Kenth,M,41,920,SWE,228.50
Cavanaugh Chris,M,41,222,USA,197.90
Russell Aaron,M,39,1032,USA,200.10
Fernandez Javier,M,35,1974,USA,219.62
Peltzer James L.,M,30,2095,CAN,222.42
Barker Steven K.,M,53,191,AUS,214.68
Morrison Paul,M,47,546,USA,222.45
Szeremet David,M,44,532,USA,212.32
Marin Christophe,M,41,151,FRA,192.83
Klene Grant M.,M,30,1934,USA,219.50
Mcgovern Patrick C,M,22,981,USA,198.75
Purwin Jon,M,33,1048,USA,200.40
Nielsen Wayne S.,M,48,2252,USA,442.75
Labranche Sebastien,M,35,502,CAN,185.18
Cobbs John,M,50,142,USA,211.67
Boily Kenny A.,M,49,701,USA,229.12
Hamilton Brandon,M,44,657,USA,218.35
Balin Isaac Sr.,M,40,1417,ESP,255.32
St. Onge Scott M,M,34,660,USA,189.73
Huseman Levi T,M,24,213,USA,175.12
Harbert Tony,M,53,224,USA,217.30
Araujo Miguel,M,43,308,POR,201.63
Burke Christopher,M,27,3348,USA,269.58
Lamanna Thomas,M,45,618,USA,225.95
Doan James K. II,M,47,105,USA,196.92
Whitcomb Matthew,M,40,234,USA,198.08
Nicholson Colin,M,38,908,CAN,196.85
Tissue Jeffrey R.,M,22,1842,USA,217.33
De Jesus Morales Abel,M,46,20,MEX,176.95
Nordby Johan,M,28,449,NOR,183.07
Joels Nir,M,41,190,USA,195.47
Feil Justin,M,38,2284,USA,228.03
Damveld Mark,M,35,1810,USA,216.30
Schmalz Martin C,M,27,2875,USA,245.48
Fulmer Jason,M,43,153,USA,192.80
Tschirren Juerg,M,42,177,USA,194.80
Clemens Kevin,M,35,302,USA,178.42
Vallee Martin,M,31,1234,CAN,203.82
Ahern Eric,M,34,1569,USA,210.18
Hurtado David M,M,30,2544,USA,234.97
Cutler Andrew D.,M,54,31,USA,190.47
Sindel Karl,M,47,100,USA,196.38
Hearn Bob,M,46,143,USA,200.20
Williams David O.,M,47,253,CAN,207.95
Anderson Clark,M,42,940,USA,229.70
Imai Christopher A.,M,42,251,CAN,198.98
Azzari Luca,M,37,484,ITA,184.32
Christ Douglas A,M,29,954,USA,197.98
Schneider Grant,M,27,4247,USA,374.22
Elder Stephen F,M,40,810,USA,223.87
Pelejero Jose Luis Jr.,M,41,739,MEX,221.48
Randolph Ryan P.,M,36,2232,USA,226.20
Scheer Edward H.,M,39,1063,USA,200.13
Lau Spencer,M,22,380,USA,181.08
Lamphier Thomas C.,M,47,111,USA,197.78
Antell Robert N.,M,40,300,CAN,202.03
Kruszewski Vance N.,M,40,491,CAN,210.23
Bottomley Robert,M,37,2891,USA,246.77
Waddington Andrew,M,34,861,USA,196.15
Jachymczyk Norbert,M,33,1773,POL,215.22
Gibson Matthew,M,46,215,USA,206.00
Bierhals Joseph A.,M,42,274,USA,200.80
Brown Christopher,M,24,1188,USA,203.27
Margolies Warren A.,M,31,2054,USA,222.00
Cameron Rob T,M,30,2571,USA,235.87
Hopper Erica T.,F,27,2935,USA,269.13
Phillippi Tony N.,M,50,546,USA,235.10
Guilhardi Paulo,M,35,3513,USA,288.05
De Conto Filippo,M,35,788,ITA,193.23
Davis Jack,M,49,69,USA,190.63
Sponaugle Jim,M,35,585,USA,187.68
Rey Sebastian,M,33,2810,MEX,242.38
Kruse Jim E.,M,34,1550,USA,210.12
Gauvin Jean,M,47,1059,CAN,239.87
Shue Ted,M,42,679,USA,219.45
Ferre Kevin J.,M,38,2765,USA,240.92
Johnson Marc R,M,35,1189,USA,202.92
Santucci Vincent M.,M,38,2682,USA,238.03
Kupperman Eli S,M,25,2422,USA,231.17
White David B,M,26,1089,USA,200.80
Klein Randy S.,M,28,2566,USA,235.35
Garvey Kieran,M,32,2385,USA,229.97
Holwell Dermot W.,M,57,15,CAN,198.43
Treadway Mark D,M,37,2915,USA,247.47
OSullivanJohn,M,34,2169,USA,224.67
Bye Gareth D.,M,49,92,USA,194.92
Scholl David,M,36,1478,USA,209.70
Cao Giovanni,M,32,1197,BEL,202.97
Thatcher Tanya M,F,41,118,USA,221.92
Masi Douglas M.,M,59,24,USA,203.15
Fordyce Bruce N.,M,56,23,RSA,202.23
Hargreaves Bruce L.,M,59,834,USA,296.77
Jones Douglas B.,M,50,127,USA,208.57
Marcotte Daniel,M,54,185,CAN,214.28
Stackpole Peter,M,43,296,USA,202.10
Klevenz Georg,M,45,47,SUI,187.55
Greenan Colin,M,35,1286,USA,204.63
Chapman Peter R.,M,35,2045,GBR,221.22
Lewis Andrew J.,M,37,2436,USA,237.75
Doyle John M.,M,32,3198,USA,261.72
Goodnough Lawrence H,M,28,915,USA,197.28
Cone Joshua,M,29,845,USA,195.25
Kyle Gregory S.,M,35,738,USA,196.37
Jacobs Jason,M,37,794,USA,193.38
Orgill David,M,32,2895,USA,246.53
Gurczak Joseph A.,M,45,141,USA,200.65
Collins Jason D.,M,35,1034,USA,200.15
Desbiens Mathieu,M,33,1408,CAN,207.45
Patterson John,M,22,364,USA,180.07
Salisbury Stephen J.,M,26,2441,USA,231.63
McGowan Daniel J.,M,34,1055,USA,200.40
Martin Scott G,M,31,799,CAN,194.12
Vuono Jeffrey,M,49,283,USA,209.58
Longyear Willis D. III,M,48,332,USA,215.92
Patterson Dwayne E,M,48,720,USA,229.52
Wieder Kenneth,M,40,980,USA,230.72
Barnhisel Gregory P.,M,42,505,USA,211.07
Taylor David,M,36,3572,USA,286.95
Will David R,M,41,988,USA,233.30
Elleman Michael L.,M,43,782,USA,223.33
Chappell Jonathan D.,M,36,959,USA,198.33
OLearyKieran,M,35,2511,IRL,233.80
Fleming Brian,M,29,2624,USA,237.67
Hennessy Russell J.,M,24,865,USA,195.87
Renfro David R.,M,32,2909,USA,247.13
Winterbottom Daniel,M,26,773,USA,193.42
Hurley De Santi Caitlin M.,F,36,67,USA,195.20
Burnham Melanie B.,F,33,170,USA,206.48
Wedig Kenneth J,M,47,128,USA,200.07
Gomez Alfonso Sr.,M,43,456,COL,210.67
Dowe Kelly,M,41,178,USA,195.02
Paulin Michael,M,37,546,USA,187.18
Desrosiers Matthew S.,M,21,1599,USA,211.18
Ryan Michael,M,34,792,USA,195.67
Wien Andrew,M,25,1101,USA,201.42
Berg Joseph K.,M,34,776,USA,194.72
Roisom Justin,M,25,1952,USA,219.28
Mueller Kirk R,M,50,40,USA,195.88
Roux Rene,M,50,51,CAN,197.47
Williams Michael J.,M,50,709,AUS,241.45
Gardner William E,M,43,256,USA,199.00
Cremean Nathanael S,M,21,1076,USA,200.78
Pou Luis,M,35,2018,USA,220.60
Kappelman Joshua J,M,30,1742,USA,214.47
Marquis Roger L,M,48,196,USA,204.63
Davies Paul A.,M,45,73,USA,192.00
Smith Zachary P,M,26,2368,USA,230.42
Matlick Jared,M,26,615,USA,188.67
Palmison Ryan,M,27,2937,USA,250.67
Nielsen Richard S. II,M,24,1985,USA,219.95
Kowalczyk Mikolaj,M,33,2126,POL,223.13
Juckett Chesnutt Stacy,F,41,105,USA,224.68
Occhino Patrick T.,M,48,1839,USA,280.50
Patterson Dale A,M,40,318,USA,203.28
Cruise Patrick,M,34,904,USA,196.98
Hegedus Gergely,M,28,1111,CAN,201.23
Pang Chi Chun,M,34,879,HKG,195.95
Norris Tom,M,46,353,USA,214.07
Tegtmeyer Ken,M,45,521,USA,224.12
Barker Todd,M,47,1086,USA,240.97
Kujawski Eric,M,37,885,USA,196.20
Kole Bill,M,51,183,USA,213.67
Larsen Philip J.,M,44,142,USA,191.70
Patriarca Ryan,M,31,1667,USA,215.90
Byrnes Gavin,M,32,3817,GBR,305.05
Miller Kasey C.,M,24,1503,USA,209.05
Vivian Matteo,M,45,188,ITA,203.95
Yates Kevin D,M,40,188,USA,194.88
Tobin Andrew,M,38,875,USA,196.68
Masterson Steve G.,M,26,3062,USA,254.90
Ferreri Anthony V.,M,49,1616,USA,264.83
Haefeli Roger,M,46,517,SUI,220.93
Ezquerro Cordon Jesus Sr.,M,45,83,ESP,193.73
Hoang Kiet,M,38,933,USA,199.42
Mueller Nicholas,M,28,2416,USA,231.22
Hardin Anthony,M,24,1256,USA,203.93
Downs Matthew,M,30,2581,USA,236.18
Sibley James W,M,25,2027,USA,220.80
Eggers Daniel J.,M,28,2607,USA,236.60
Sloan Jim,M,54,1408,USA,286.58
Ritter Michael G,M,45,865,USA,233.88
Bosch David C,M,45,58,USA,189.50
Groves Timothy C.,M,44,237,CAN,198.78
Gaskins Aaron N,M,28,2661,USA,237.82
Lee Kerry,F,37,269,USA,211.05
Cucuzzella Neil V,M,43,105,USA,188.23
Payne Eric J,M,37,1889,USA,219.52
Slater Geoffrey,M,27,2070,USA,222.70
Krumland Stephen P,M,24,1534,USA,209.92
Hartnett Michael K.,M,29,729,USA,192.18
Yost Brent,M,32,678,USA,190.43
Yost Mark J.,M,53,75,USA,201.73
Iverson Michael A.,M,45,48,USA,188.17
Browning Andy,M,40,811,USA,227.62
Larson Derek P.,M,41,516,USA,212.08
Brennan Benjamin,M,42,214,USA,197.17
Shugart Jason M.,M,36,1907,USA,218.38
Johnson Cory,M,21,3395,USA,273.38
James Rachel,F,30,1940,USA,248.53
Doering Sascha,M,35,604,USA,188.53
Morton Barry,M,46,834,CAN,232.50
Evans Ronald C.,M,45,963,USA,237.10
Gross Benjamin,M,43,379,USA,205.77
Whealy Chris,M,43,202,USA,196.12
Medina Moises,M,42,212,USA,196.58
Chekal Paul T.,M,41,184,USA,194.97
Macias Jose L,M,34,2404,USA,231.13
Brameyer Jim,M,33,1651,USA,212.18
Bradley Norman S,M,33,2600,USA,236.13
Vargo Michael,M,24,2142,CAN,223.78
Gerchberg Terence J,M,40,238,USA,198.38
Ning Wenlong,M,35,694,SIN,190.37
Judge Aaron,M,32,1236,USA,203.70
Gerber Justin R.,M,32,1745,USA,214.40
Fransen Brian,M,26,2575,USA,235.35
Clarke Roy,M,56,191,USA,234.28
Zyborowicz Henry,M,55,45,USA,211.13
Brunnquell Stephen,M,56,12,USA,195.35
Tawney Whitney,F,27,46,USA,190.37
Kerimo Josef,M,41,929,USA,229.13
Madej Robert,M,43,680,CAN,219.00
Takacs Greg,M,35,477,USA,184.10
Montgomery Brian,M,33,536,USA,186.63
Nelson Michael P,M,43,613,USA,215.83
Sams Chris W,M,27,2134,USA,222.95
Lum Randy,M,32,884,USA,196.62
Howell Keith C,M,29,1137,USA,201.93
Erami Akira,M,27,1102,JPN,200.62
Wright Aharon N.,M,26,796,USA,194.38
Wetter Thomas J.,M,48,68,USA,190.83
Elmrabet Karim,M,46,491,USA,220.83
Miklic Mirko Bogomir,M,46,220,SLO,206.32
Shriver Tracy K.,M,39,653,USA,190.57
Nozaki Yoshihiro,M,37,2694,USA,238.43
Smith Ryan T.,M,31,726,USA,191.60
Semeyn Benjamin,M,29,2717,USA,239.10
Boyce Rob C.,M,45,1981,USA,306.32
Marotta Paul J.,M,45,293,CAN,211.05
Einfeldt Nathaniel J.,M,21,3151,USA,258.97
Leonard Brian M.,M,31,1723,USA,213.57
Mcmurdie Brandon G.,M,29,2113,USA,222.97
Schultheiss Christian G,M,45,322,USA,211.98
Villeneuve Michel,M,49,148,CAN,201.30
Mitchell Raymond,M,47,166,USA,202.90
Kerivan Donald M.,M,49,844,USA,233.10
Kherlakian Wilson S. Jr.,M,38,1819,BRA,216.28
Weaver Adam,M,41,79,USA,184.05
Hopp Kevin,M,35,2656,USA,237.63
McCrone Jt,M,21,1908,USA,218.50
Goetzman Christopher,M,31,568,USA,187.58
Aaker Aaron P.,M,40,480,USA,209.73
Liou Chris,M,44,492,USA,210.27
Robertson Kevin C.,M,40,489,USA,210.53
Bollman Chad K.,M,23,571,USA,187.53
Mcdonough Sean,M,29,1270,USA,204.43
Pacholec Andrew,M,28,812,USA,194.43
Anderson Arik,M,31,2615,USA,237.02
Rombold Joseph W.,M,47,1643,USA,266.35
Alm David G,M,36,3079,USA,255.20
Rezende Luciano N.,M,28,2992,USA,251.72
Hennessy Michael,M,33,1062,AUS,200.80
McGinley Mark,M,23,2996,USA,251.23
Gudino Marco A,M,33,2411,USA,231.25
Brouillard Thomas,M,23,843,USA,195.28
Gillanders Robert,M,43,357,USA,204.43
Audet Jean,M,38,903,CAN,197.23
Hallen Mark,M,23,376,USA,180.93
Lalonde Ryan R.,M,29,2041,CAN,221.62
Meyer Lauren,F,25,76,USA,196.48
Fleming Nicholas F,M,45,86,USA,194.62
Deluca John,M,44,479,USA,209.82
Jahn Robert E,M,31,665,USA,189.80
Beckmann Daniel P,M,32,849,USA,195.98
Eley Brian,M,51,1391,CAN,279.30
Novis Andy C.,M,48,107,USA,196.75
Elkins Brent,M,43,339,USA,203.95
Zaloum Mathieu,M,38,1071,CAN,200.92
Nierenberg David W,M,29,233,USA,175.50
Rylyakov Alexander,M,45,183,USA,203.92
Clark Sean,M,32,1761,USA,214.75
McCarthy Kieran R.,M,34,965,USA,200.08
Evans Casey,M,24,3121,USA,257.73
Singer Harry Y,M,45,418,USA,216.87
Little Jacob,M,24,628,USA,188.85
McElroy Brian C.,M,50,156,USA,211.27
Lopez Gonzalez Juan Carlos Sr.,M,40,1015,ESP,231.92
Yang Wenhua,M,40,182,USA,195.15
Stoffer James M,M,30,2295,USA,228.40
Hagedorn Travis,M,29,1653,USA,211.85
Richardson Bryan D.,M,46,260,USA,208.50
Doherty Ben,M,40,808,USA,223.87
Frazita Tak,M,36,2563,USA,235.57
Bruno Benjamin J.,M,28,2576,USA,235.18
Nicholson Michael,M,31,2259,USA,227.15
Shaheen Matthew M.,M,43,207,USA,196.85
Pyasta Roman,M,40,228,USA,198.12
Navas Masip Josep,M,36,3209,USA,261.58
Lesven Ronan,M,39,2805,FRA,241.93
Sondecker George R. IV,M,25,1406,USA,207.40
Neugebauer Steven T,M,33,3067,USA,254.93
Ford Daniel R,M,27,1788,USA,215.67
Kellner Tomas,M,41,892,USA,227.32
Brayman Mason,M,41,1152,USA,237.58
Voigt Alex,M,24,464,USA,183.58
Morgan Edward J,M,32,816,USA,195.38
Duchossois Frank L,M,55,30,USA,205.27
Poole Harold R.,M,24,2658,USA,237.80
Mathis Justin,M,28,1545,USA,209.63
Hare Chris J.,M,34,1126,CAN,201.62
Chivasa Mufaro,M,43,553,CAN,212.83
Chapple Ian,M,37,593,USA,188.02
Musso Jose G,M,36,3610,USA,288.20
Remick Scott W.,M,37,2860,USA,245.13
Shoshannah Jenni B.,F,34,2513,USA,258.95
Warzala Rafal,M,36,2264,POL,226.93
Smith Gregory J.,M,27,2561,USA,235.15
Smith Jason S.,M,21,1391,USA,207.03
Loveless Jeff,M,32,1888,USA,217.95
Matteo Vincent,M,44,447,USA,208.97
Coble Christopher,M,29,842,USA,195.37
Jafferji Moiz S.,M,26,2772,USA,240.90
Bosman Johan G,M,52,1148,USA,266.85
Graham Michael B.,M,38,4047,USA,330.13
Beix Mike,M,37,2265,USA,229.17
Beach Timothy,M,30,1077,USA,200.87
Shi Lewis L,M,34,1030,USA,199.83
Moore Michael D,M,29,1114,USA,201.40
Popovic Dejan,M,33,2454,USA,232.17
Carino Tony P III,M,26,1999,USA,220.23
Babecki Julio,M,44,175,ESP,194.18
Brunell Robert M,M,37,1566,USA,210.77
Lajaunie Casey,M,35,1172,USA,202.33
Seipel Timothy J,M,35,2868,USA,246.05
Callendar Chris,M,31,832,CAN,194.63
Jones Jason R,M,30,1913,USA,218.23
Haskell Erick,M,40,1574,USA,269.95
Dick Phil,M,30,2540,USA,235.00
Hammond Kenneth C,M,22,1171,USA,202.70
Brennan Phil I. Jr.,M,46,108,USA,197.40
Davies Shawn C.,M,32,892,CAN,196.42
Zoegl Gerald,M,43,584,AUT,214.72
Gruett Chad,M,35,3140,USA,257.75
Wackler Josh,M,29,3203,USA,261.72
Gallagher Robert,M,46,476,USA,219.80
Juarez Eduardo,M,35,716,MEX,190.92
Haber Ben,M,28,968,USA,198.78
Willauer Thomas J,M,22,808,USA,194.27
Pittman David L,M,27,1979,USA,220.38
Lewis Brian,M,32,2946,USA,255.22
Kopacz Richard,M,45,139,USA,200.25
Young Carl R.,M,48,102,CAN,196.67
Flies Andrew S.,M,33,545,USA,186.82
Shackelford Charles,M,24,1929,USA,219.28
Wang Danny H,M,40,386,USA,205.85
McCloskey Peter,M,31,854,GBR,195.33
Baker Brian K.,M,50,404,USA,227.68
Minnella Nicholas A.,M,24,3122,USA,257.20
Hagen Jeffrey,M,34,494,USA,185.62
Kolodziej Jonathan,M,26,1693,USA,213.13
Webb Jim,M,32,2146,USA,224.93
Weidner John,M,49,103,USA,197.38
Fischer Curt J.,M,43,123,USA,190.62
Yeung Chi Daniel,M,40,145,HKG,191.83
McNeil Peter,M,27,1398,USA,206.70
Arcaz Jean-Christophe,M,51,71,USA,200.92
Salamone Bill Jr.,M,48,292,USA,209.82
White Richard B,M,48,227,USA,206.42
Caldwell Lance,M,41,1175,USA,238.82
Wolf Greg A.,M,34,1878,USA,217.82
Karthas Timothy,M,23,2922,USA,247.62
Bies Daniel,M,23,2577,USA,235.27
Felice Jeffrey R.,M,45,1527,USA,261.42
Cunningham Kevin J. Jr.,M,29,263,USA,176.30
Manganaro Justin,M,28,3238,USA,263.40
Caputi Gaetano,M,47,72,ITA,190.97
Price Timothy J.,M,22,963,USA,198.27
Schueller Michael J,M,24,3498,USA,281.50
Bates David,M,25,363,USA,180.03
Grbas Robert,M,21,1799,USA,216.13
Evak Molly M.,F,29,215,USA,206.53
Barres Spyros,M,49,39,USA,186.82
Edwards Scott E.,M,48,728,USA,229.65
Erwin Phil F.,M,44,135,USA,192.12
Kardas Atilla,M,44,459,USA,209.28
Wilkinson Chad D.,M,37,3136,USA,257.40
Miller Jeremy D.,M,35,1347,USA,206.40
